,CN,SaI,JI,SoI,HPI,HDI,LHN1,PAI,AAI,RAI,KI,LHN2,ACT,CBL,RWR,MFI
newman adjnoun,0.662143404064,0.605849402967,0.603442663062,0.603442663062,0.618401453701,0.602827386331,0.565676973644,0.74384260489,0.661636870938,0.659071476092,0.713803486641,0.515747609658,0.742208195097,0.582540632321,0.737365222661,0.667497704748
newman celegansneural,0.843985098967,0.797159451944,0.789971099578,0.789971099578,0.804574039572,0.779009269084,0.725389494761,0.750079257722,0.861111942622,0.866068021271,0.851640559959,0.546537315658,0.738249313257,0.848009897041,0.724525966912,0.865205794585
newman dolphins,0.779454989415,0.774380773672,0.778577150693,0.778577150693,0.763213890493,0.780666618553,0.762054705543,0.619124687259,0.781450995958,0.780727121824,0.798666041186,0.662064328329,0.75976388087,0.78529806582,0.647490617783,0.804314015589
newman football,0.845944989829,0.857528095047,0.857886639863,0.857886639863,0.855510811278,0.857383982054,0.859482451197,0.269802035755,0.845795336766,0.845754687343,0.856571358493,0.876638877028,0.587786581766,0.884727017435,0.271710284736,0.878456620414
newman lesmis,0.910810340857,0.882181281667,0.879710012667,0.879710012667,0.847449533625,0.878189428835,0.820270958084,0.776402953708,0.918359684477,0.918732985951,0.883976623676,0.567876727315,0.858663749424,0.811807749885,0.793551186089,0.867094714417
newman polbooks,0.887207590952,0.884444605449,0.875319025078,0.875319025078,0.894283953301,0.863074956579,0.84795659826,0.653248328071,0.897115119113,0.899759540011,0.890984491256,0.862319222309,0.728527871865,0.890554327897,0.618429000103,0.898542427664
karate club,0.699907571724,0.636143152913,0.606828601006,0.606828601006,0.712276323573,0.592640860692,0.599922360248,0.711625628512,0.725595238095,0.733396184561,0.755153800651,0.612442694469,0.666189736764,0.735803016859,0.619955264715,0.748715246968
pajek_us_air,0.93489609511,0.908560493298,0.898030067771,0.898030067771,0.870076488469,0.891643931334,0.767658895814,0.886946613807,0.945853493325,0.951752037968,0.919736820765,0.5,0.891850656879,0.905080691052,0.832091607188,0.912749440104
